Id,IDFANTASYSEASON,NAME,IDFANTASYPOSITION,CREATED,CREATED_BY,UPDATED,UPDATED_BY,URLPHOTO,IDFANTASYTEAM
5,1,Aaron Jones,9,2022-11-03T12:39:44,JORTRI,2022-11-03T12:39:44,JORTRI,https://images.fantasypros.com/images/players/nfl/16673/headshot/250x250.webp,7
24,1,Damien Harris,9,2022-11-06T11:27:28,JORTRI,2022-11-06T11:27:28,JORTRI,https://images.fantasypros.com/images/players/nfl/18230/headshot/250x250.webp,29
25,1,Darnell Mooney,11,2022-11-06T11:28:31,JORTRI,2022-11-06T11:28:31,JORTRI,https://images.fantasypros.com/images/players/nfl/19810/headshot/250x250.webp,4
28,1,George Pickens,11,2022-11-07T09:40:24,JORTRI,2022-11-07T09:40:24,JORTRI,https://images.fantasypros.com/images/players/nfl/22963/headshot/250x250.webp,31
69,1,Darren Waller,13,2022-12-24T10:09:43,JORTRI,2022-12-24T10:09:43,JORTRI,https://images.fantasypros.com/images/players/nfl/14104/headshot/250x250.webp,26
1,1,Joe Burrow,8,2022-11-03T11:13:50,JORTRI,2022-11-03T12:35:44,JORTRI,https://images.fantasypros.com/images/players/nfl/19196/headshot/250x250.webp,19
4,1,Justin Fields,8,2022-11-03T11:54:21,JORTRI,2022-11-03T12:35:51,JORTRI,https://images.fantasypros.com/images/players/nfl/19781/headshot/250x250.webp,4
21,1,Lamar Jackson,8,2022-11-06T10:53:37,JORTRI,2022-11-06T10:53:37,JORTRI,https://images.fantasypros.com/images/players/nfl/17233/headshot/250x250.webp,17
22,1,Pat Freiermuth,13,2022-11-06T10:54:27,JORTRI,2022-11-06T10:54:27,JORTRI,https://images.fantasypros.com/images/players/nfl/20163/headshot/250x250.webp,31
26,1,Cam Akers,9,2022-11-06T11:46:50,JORTRI,2022-11-06T11:46:50,JORTRI,https://images.fantasypros.com/images/players/nfl/19268/headshot/250x250.webp,8
27,1,Romeo Doubs,11,2022-11-06T17:43:29,JORTRI,2022-11-06T17:43:29,JORTRI,https://images.fantasypros.com/images/players/nfl/23794/headshot/250x250.webp,7
29,1,Jakobi Meyers,11,2022-11-20T10:16:30,JORTRI,2022-11-20T10:16:30,JORTRI,https://images.fantasypros.com/images/players/nfl/18598/headshot/250x250.webp,29
6,1,Travis Etienne Jr.,9,2022-11-03T12:44:06,JORTRI,2022-11-03T12:44:06,JORTRI,https://images.fantasypros.com/images/players/nfl/19231/headshot/250x250.webp,24
7,1,Rhamondre Stevenson,9,2022-11-03T12:44:45,JORTRI,2022-11-03T12:44:45,JORTRI,https://images.fantasypros.com/images/players/nfl/22726/headshot/250x250.webp,29
8,1,Cordarrelle Patterson,9,2022-11-03T12:45:33,JORTRI,2022-11-03T12:45:33,JORTRI,https://images.fantasypros.com/images/players/nfl/11613/headshot/250x250.webp,2
9,1,Najee Harris,9,2022-11-03T12:46:07,JORTRI,2022-11-03T12:46:07,JORTRI,https://images.fantasypros.com/images/players/nfl/19302/headshot/250x250.webp,31
10,1,Saquon Barkley,9,2022-11-03T12:46:27,JORTRI,2022-11-03T12:46:27,JORTRI,https://images.fantasypros.com/images/players/nfl/17240/headshot/250x250.webp,11
11,1,Jaylen Waddle,11,2022-11-03T12:46:49,JORTRI,2022-11-03T12:46:49,JORTRI,https://images.fantasypros.com/images/players/nfl/19790/headshot/250x250.webp,28
12,1,A.J. Brown,11,2022-11-03T12:47:15,JORTRI,2022-11-03T12:47:15,JORTRI,https://images.fantasypros.com/images/players/nfl/18218/headshot/250x250.webp,12
13,1,Mike Williams,11,2022-11-03T12:47:46,JORTRI,2022-11-03T12:47:46,JORTRI,https://images.fantasypros.com/images/players/nfl/16377/headshot/250x250.webp,27
14,1,Zach Ertz,13,2022-11-03T12:48:12,JORTRI,2022-11-03T12:48:12,JORTRI,https://images.fantasypros.com/images/players/nfl/11689/headshot/250x250.webp,1
15,1,T.J. Hockenson,13,2022-11-03T12:48:35,JORTRI,2022-11-03T12:48:35,JORTRI,https://images.fantasypros.com/images/players/nfl/18290/headshot/250x250.webp,9
49,1,DJ Moore,11,2022-11-27T11:29:07,JORTRI,2022-11-27T11:29:07,JORTRI,https://images.fantasypros.com/images/players/nfl/17265/headshot/250x250.webp,3
