Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,IDFANTASYPOSITION,IDFANTASYPLAYER,CREATED,CREATED_BY,UPDATED,UPDATED_BY
29,1,1,2,9,5,2022-11-06T11:17:48,JORTRI,2022-11-06T11:17:48,JORTRI
30,1,1,2,10,9,2022-11-06T11:17:48,JORTRI,2022-11-06T11:17:48,JORTRI
35,1,1,3,8,21,2022-11-06T11:20:22,JORTRI,2022-11-06T11:20:22,JORTRI
36,1,1,3,9,5,2022-11-06T11:20:22,JORTRI,2022-11-06T11:20:22,JORTRI
37,1,1,3,10,9,2022-11-06T11:20:22,JORTRI,2022-11-06T11:20:22,JORTRI
232,1,4,1,8,21,2022-11-06T17:06:16,JORTRI,2022-11-06T17:06:16,JORTRI
233,1,4,1,9,9,2022-11-06T17:07:07,JORTRI,2022-11-06T17:07:07,JORTRI
234,1,4,1,10,5,2022-11-06T17:07:07,JORTRI,2022-11-06T17:07:07,JORTRI
235,1,4,1,11,12,2022-11-06T17:07:07,JORTRI,2022-11-06T17:07:07,JORTRI
236,1,4,1,12,11,2022-11-06T17:07:07,JORTRI,2022-11-06T17:07:07,JORTRI
237,1,4,1,13,15,2022-11-06T17:07:07,JORTRI,2022-11-06T17:07:07,JORTRI
238,1,4,1,14,13,2022-11-06T17:07:07,JORTRI,2022-11-06T17:07:07,JORTRI
239,1,4,2,8,21,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
240,1,4,2,9,9,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
241,1,4,2,10,5,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
242,1,4,2,11,11,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
243,1,4,2,12,12,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
244,1,4,2,13,15,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
245,1,4,2,14,8,2022-11-06T17:18:18,JORTRI,2022-11-06T17:18:18,JORTRI
246,1,4,3,8,21,2022-11-06T17:21:23,JORTRI,2022-11-06T17:21:23,JORTRI
