Id,IDFANTASYSEASON,WEEK,IDFANTASYPLAYER,FANTASYPOINTS,CREATED,CREATED_BY,UPDATED,UPDATED_BY
89,1,8,10,15.2,2022-11-06T18:29:17,JORTRI,2022-11-06T18:29:17,JORTRI
90,1,8,6,25.2,2022-11-06T18:29:17,JORTRI,2022-11-06T18:29:17,JORTRI
91,1,8,11,30.6,2022-11-06T18:29:17,JORTRI,2022-11-06T18:29:17,JORTRI
92,1,8,12,39.6,2022-11-06T18:29:17,JORTRI,2022-11-06T18:29:17,JORTRI
93,1,8,14,13.4,2022-11-06T18:29:17,JORTRI,2022-11-06T18:29:17,JORTRI
94,1,8,7,21.3,2022-11-06T18:29:17,JORTRI,2022-11-06T18:29:17,JORTRI
165,1,11,4,22.62,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
166,1,11,10,5.5,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
167,1,11,7,14.2,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
168,1,11,12,9,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
169,1,11,22,15.9,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
170,1,11,29,9.2,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
171,1,11,1,26.7,2022-11-21T13:37:20,JORTRI,2022-11-21T13:37:20,JORTRI
244,1,15,1,24.8,2022-12-20T14:02:50,JORTRI,2022-12-20T14:02:50,JORTRI
248,1,15,11,20.4,2022-12-20T14:04:21,JORTRI,2022-12-20T14:04:21,JORTRI
256,1,15,49,18.3,2022-12-20T14:07:30,JORTRI,2022-12-20T14:07:30,JORTRI
264,1,16,1,23.5,2022-12-27T13:15:49,JORTRI,2022-12-27T13:15:49,JORTRI
272,1,16,9,15.5,2022-12-27T13:18:51,JORTRI,2022-12-27T13:18:51,JORTRI
273,1,16,49,20.1,2022-12-27T13:18:51,JORTRI,2022-12-27T13:18:51,JORTRI
274,1,16,13,11.6,2022-12-27T13:18:51,JORTRI,2022-12-27T13:18:51,JORTRI
275,1,16,22,13.6,2022-12-27T13:18:51,JORTRI,2022-12-27T13:18:51,JORTRI
295,1,17,7,7.1,2023-01-06T10:15:03,JORTRI,2023-01-06T10:15:03,JORTRI
21,1,1,21,20.22,2022-11-06T11:47:55,JORTRI,2022-11-06T11:47:55,JORTRI
22,1,1,9,10.6,2022-11-06T11:48:48,JORTRI,2022-11-06T11:48:48,JORTRI
25,1,1,25,1.8,2022-11-06T11:50:01,JORTRI,2022-11-06T11:50:01,JORTRI
26,1,1,15,7.8,2022-11-06T11:50:01,JORTRI,2022-11-06T11:50:01,JORTRI
27,1,1,8,22.6,2022-11-06T11:50:01,JORTRI,2022-11-06T11:50:01,JORTRI
31,1,1,26,0,2022-11-06T11:51:38,JORTRI,2022-11-06T11:51:38,JORTRI
32,1,2,21,42.62,2022-11-06T14:13:15,JORTRI,2022-11-06T14:13:15,JORTRI
33,1,2,5,32,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
34,1,2,9,13.9,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
35,1,2,12,11.9,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
36,1,2,13,25.3,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
37,1,2,15,5.6,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
38,1,2,11,40.1,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
39,1,2,8,4.1,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
40,1,2,24,16.7,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
41,1,2,14,15.5,2022-11-06T14:15:52,JORTRI,2022-11-06T14:15:52,JORTRI
49,1,3,8,22.3,2022-11-06T17:04:23,JORTRI,2022-11-06T17:04:23,JORTRI
50,1,3,15,10.8,2022-11-06T17:04:23,JORTRI,2022-11-06T17:04:23,JORTRI
51,1,4,21,13.06,2022-11-06T17:30:56,JORTRI,2022-11-06T17:30:56,JORTRI
52,1,4,9,7.4,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
53,1,4,5,14.5,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
54,1,4,12,14.5,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
55,1,4,11,5.9,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
56,1,4,15,39.9,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
57,1,4,13,19,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
58,1,4,8,9.8,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
59,1,4,14,16.7,2022-11-06T17:32:46,JORTRI,2022-11-06T17:32:46,JORTRI
61,1,5,5,10,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
62,1,5,7,19.5,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
63,1,5,12,6.2,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
64,1,5,11,5.3,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
65,1,5,13,23.4,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
66,1,5,15,1.6,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
67,1,5,9,6.6,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
68,1,5,14,10.8,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
69,1,5,27,5.9,2022-11-06T17:47:59,JORTRI,2022-11-06T17:47:59,JORTRI
144,1,10,4,39.38,2022-11-15T06:58:45,JORTRI,2022-11-15T06:58:45,JORTRI
