Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,WINPOINT,CREATED,CREATED_BY,UPDATED,UPDATED_BY
113,1,8,10,5,2022-11-06T18:32:07,JORTRI,2022-11-06T18:32:07,JORTRI
53,1,3,1,0,2022-11-06T17:25:36,JORTRI,2022-11-06T17:25:36,JORTRI
56,1,3,4,5,2022-11-06T17:25:57,JORTRI,2022-11-06T17:25:57,JORTRI
58,1,3,6,10,2022-11-06T17:26:10,JORTRI,2022-11-06T17:26:10,JORTRI
61,1,3,9,0,2022-11-06T17:26:45,JORTRI,2022-11-06T17:26:45,JORTRI
66,1,4,4,0,2022-11-06T17:34:16,JORTRI,2022-11-06T17:34:16,JORTRI
71,1,4,8,10,2022-11-06T17:34:52,JORTRI,2022-11-06T17:34:52,JORTRI
74,1,5,1,5,2022-11-06T17:49:21,JORTRI,2022-11-06T17:49:21,JORTRI
104,1,8,1,10,2022-11-06T18:31:14,JORTRI,2022-11-06T18:31:14,JORTRI
107,1,8,4,10,2022-11-06T18:31:33,JORTRI,2022-11-06T18:31:33,JORTRI
110,1,8,7,10,2022-11-06T18:31:47,JORTRI,2022-11-06T18:31:47,JORTRI
116,1,9,1,5,2022-11-07T09:44:57,JORTRI,2022-11-07T09:44:57,JORTRI
120,1,9,6,5,2022-11-07T09:45:19,JORTRI,2022-11-07T09:45:19,JORTRI
123,1,9,10,5,2022-11-07T09:45:32,JORTRI,2022-11-07T09:45:32,JORTRI
147,1,11,5,10,2022-11-21T13:40:11,JORTRI,2022-11-21T13:40:11,JORTRI
150,1,11,8,5,2022-11-21T13:41:16,JORTRI,2022-11-21T13:41:16,JORTRI
153,1,11,9,5,2022-11-21T13:42:14,JORTRI,2022-11-21T13:42:14,JORTRI
225,1,15,9,10,2022-12-20T14:08:48,JORTRI,2022-12-20T14:08:48,JORTRI
227,1,15,4,0,2022-12-20T14:10:05,JORTRI,2022-12-20T14:10:05,JORTRI
230,1,15,1,5,2022-12-20T14:11:13,JORTRI,2022-12-20T14:11:13,JORTRI
233,1,15,7,5,2022-12-20T14:11:47,JORTRI,2022-12-20T14:11:47,JORTRI
244,1,16,6,10,2022-12-27T13:19:25,JORTRI,2022-12-27T13:19:25,JORTRI
246,1,16,10,5,2022-12-27T13:20:13,JORTRI,2022-12-27T13:20:13,JORTRI
249,1,16,5,5,2022-12-27T13:20:58,JORTRI,2022-12-27T13:20:58,JORTRI
